City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
235,lavrentiya,65.5833,-171.0,42.04,overcast clouds,0.0,0,90,100,4.99,RU
236,aloleng,16.1307,119.7824,83.61,moderate rain,1.33,0,75,100,2.46,PH
237,pundaguitan,6.3711,126.1689,84.09,broken clouds,0.0,0,75,80,15.43,PH
238,kushmurun,52.4503,64.6311,58.57,light rain,0.18,0,90,100,15.84,KZ
239,saint-pierre,-21.3393,55.4781,74.88,broken clouds,0.0,0,71,75,4.61,RE
240,namibe,-15.1961,12.1522,74.03,scattered clouds,0.0,0,68,40,5.75,AO
241,igarka,67.4667,86.5833,63.03,clear sky,0.0,0,61,5,10.65,RU
242,carnarvon,-24.8667,113.6333,70.52,overcast clouds,0.0,0,59,100,8.03,AU
243,las cruces,32.3123,-106.7783,77.99,broken clouds,0.0,0,57,75,3.0,US
244,namatanai,-3.6667,152.4333,79.75,overcast clouds,0.0,0,79,86,10.74,PG
245,rocky mountain house,52.3668,-114.9188,57.31,broken clouds,0.0,0,100,54,1.14,CA
246,razdolnoye,43.55,131.9167,72.01,overcast clouds,0.0,0,97,100,6.89,RU
247,bambanglipuro,-7.95,110.2833,75.02,overcast clouds,0.0,0,87,98,8.34,ID
248,voh,-20.9667,164.7,64.87,few clouds,0.0,0,87,19,4.34,NC
249,ati,13.2154,18.3353,89.87,overcast clouds,0.0,0,44,100,9.01,TD
250,upington,-28.4478,21.2561,82.78,few clouds,0.0,0,13,20,19.57,ZA
251,aksay,47.26,39.87,91.62,overcast clouds,0.0,0,25,97,1.01,RU
252,adjumani,3.3779,31.7909,75.24,light rain,0.9,0,80,88,4.29,UG
253,mercedes,-34.6515,-59.4307,51.04,overcast clouds,0.0,0,63,97,16.64,AR
254,komsomolskiy,40.4272,71.7189,93.92,few clouds,0.0,0,22,17,6.91,UZ
255,nome,64.5011,-165.4064,41.07,clear sky,0.0,0,93,0,3.44,US
256,yongzhou,26.4559,111.5988,83.05,overcast clouds,0.0,0,71,100,1.5,CN
257,leningradskiy,69.3833,178.4167,33.66,overcast clouds,0.0,0,90,99,4.18,RU
258,pouebo,-20.4,164.5667,69.87,broken clouds,0.0,0,76,65,7.81,NC
259,vigrestad,58.5667,5.7,66.81,clear sky,0.0,0,71,8,12.44,NO
260,norheimsund,60.3709,6.1456,67.15,overcast clouds,0.0,0,49,88,4.09,NO
261,bayan,46.0833,127.4,73.67,overcast clouds,0.0,0,90,86,2.26,CN
262,gashua,12.871,11.0482,91.29,overcast clouds,0.0,0,38,89,6.04,NG
263,xicotencatl,23.0167,-98.8833,78.53,broken clouds,0.0,0,81,53,4.07,MX
264,nha trang,12.25,109.1833,84.2,broken clouds,0.0,0,87,62,4.94,VN
265,esperance,-33.8667,121.9,59.32,scattered clouds,0.0,0,52,37,10.49,AU
266,miri,4.4148,114.0089,78.94,scattered clouds,0.0,0,94,40,3.44,MY
267,bograd,54.2344,90.8328,61.65,overcast clouds,0.0,0,56,100,0.6,RU
268,soldotna,60.4878,-151.0583,53.08,clear sky,0.0,0,92,0,3.44,US
269,chiang klang,19.2938,100.8617,77.9,broken clouds,0.0,0,89,78,1.45,TH
270,ukiah,39.1502,-123.2078,72.64,clear sky,0.0,0,80,0,0.0,US
271,kutum,14.2,24.6667,85.44,overcast clouds,0.0,0,36,100,1.14,SD
272,leninskoye,41.7589,69.3864,88.57,overcast clouds,0.0,0,19,99,12.93,KZ
273,bambous virieux,-20.3428,57.7575,72.21,scattered clouds,0.0,0,73,40,10.36,MU
274,sur,22.5667,59.5289,88.03,broken clouds,0.0,0,58,59,21.97,OM
275,coihaique,-45.5752,-72.0662,42.75,broken clouds,0.0,0,61,75,5.75,CL
276,egvekinot,66.3167,-179.1667,40.59,light rain,0.14,0,86,98,3.69,RU
277,koutiala,12.3917,-5.4642,90.57,overcast clouds,0.0,0,47,89,11.03,ML
278,san jose,37.3394,-121.895,61.84,overcast clouds,0.0,0,85,100,1.99,US
279,laguna,38.421,-121.4238,70.02,clear sky,0.0,0,84,0,10.36,US
280,gunnedah,-30.9833,150.25,44.11,scattered clouds,0.0,0,82,31,1.25,AU
281,codrington,-38.2667,141.9667,45.77,clear sky,0.0,0,75,10,4.85,AU
282,kargasok,59.0556,80.8572,65.17,overcast clouds,0.0,0,71,99,8.95,RU
283,marsh harbour,26.5412,-77.0636,82.89,few clouds,0.0,0,71,15,12.77,BS
284,mehamn,71.0357,27.8492,51.75,overcast clouds,0.0,0,76,100,18.41,NO
285,noumea,-22.2763,166.4572,60.78,clear sky,0.0,0,77,1,5.01,NC
286,madera,37.1666,-119.8343,86.97,clear sky,0.0,0,40,6,1.92,US
