City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,ratnagiri,IN,80.92,broken clouds,16.9833,73.3,
425,caucaia,BR,86.31,few clouds,-3.7361,-38.6531,
428,beeville,US,82.62,clear sky,28.4008,-97.7483,
430,wanxian,CN,82.15,clear sky,30.8039,108.3897,
434,guilin,CN,86.11,overcast clouds,25.2819,110.2864,
436,asau,RO,76.12,overcast clouds,46.4333,26.4,
438,alberton,CA,75.33,scattered clouds,46.8168,-64.0654,
443,qingdao,CN,80.2,scattered clouds,36.0986,120.3719,
444,stephenville,US,84.16,clear sky,32.2207,-98.2023,
445,ormond beach,US,86.07,haze,29.2858,-81.0559,
450,ewa beach,US,76.95,clear sky,21.3156,-158.0072,
451,chikwawa,MW,79.38,clear sky,-16.0335,34.8009,
452,ca mau,VN,79.36,clear sky,9.1769,105.15,
453,neath,GB,73.71,broken clouds,51.6632,-3.8044,
458,chapada dos guimaraes,BR,74.86,clear sky,-15.4606,-55.7497,
459,ivdel,RU,74.89,clear sky,60.6911,60.4206,
460,poquoson,US,87.01,few clouds,37.1224,-76.3458,
461,srandakan,ID,75.16,overcast clouds,-7.9386,110.2506,
466,hovd,MN,70.48,broken clouds,48.0056,91.6419,
467,makokou,GA,81.82,overcast clouds,0.5738,12.8642,
468,asfi,MA,74.75,clear sky,32.2994,-9.2372,
470,tungawan,PH,80.13,overcast clouds,7.5081,122.3711,
471,gulariya,NP,81.18,broken clouds,28.2333,81.3333,
472,algiers,DZ,85.82,clear sky,36.7525,3.042,
474,krasnyy yar,RU,87.73,overcast clouds,46.5331,48.3456,
475,bani,DO,82.85,clear sky,18.2833,-70.3333,
476,havelock,US,87.94,scattered clouds,34.8791,-76.9013,
478,bastrop,US,81.82,clear sky,32.7562,-91.8724,
479,baoying,CN,78.06,overcast clouds,33.2292,119.3092,
483,los llanos de aridane,ES,75.13,few clouds,28.6585,-17.9182,
484,buta,CD,77.27,moderate rain,2.7858,24.73,
485,nkhata bay,MW,73.98,clear sky,-11.6066,34.2907,
486,tchollire,CM,83.16,moderate rain,8.4022,14.1698,
487,abbeville,FR,82.26,overcast clouds,50.1,1.8333,
488,kilindoni,TZ,76.35,few clouds,-7.9139,39.6668,
490,xai-xai,MZ,70.16,clear sky,-25.0519,33.6442,
491,lakhimpur,IN,85.8,overcast clouds,27.95,80.7667,
493,nishihara,JP,83.86,broken clouds,26.1842,127.7558,
494,trzebiatow,PL,74.05,broken clouds,54.0615,15.2648,
495,sigli,ID,79.52,overcast clouds,5.3848,95.9609,
497,jefferson city,US,78.93,clear sky,38.5767,-92.1735,
498,sterling,US,84.6,broken clouds,39.0062,-77.4286,
499,tema,GH,81.01,scattered clouds,5.667,-0.0166,
500,omboue,GA,75.58,overcast clouds,-1.5746,9.2618,
501,mbandaka,CD,86.5,overcast clouds,0.0487,18.2603,
503,wamba,NG,75.61,moderate rain,8.9333,8.6,
504,bolgatanga,GH,83.91,light rain,10.7856,-0.8514,
505,nouadhibou,MR,84.18,sand,20.931,-17.0347,
509,carroll,US,81.82,clear sky,39.5501,-77.0164,
512,mitsamiouli,KM,79.09,light rain,-11.3847,43.2844,
513,cayenne,GF,88.09,broken clouds,4.9333,-52.3333,
514,luanda,AO,71.6,haze,-8.8368,13.2343,
516,california city,US,81.97,clear sky,35.1258,-117.9859,
517,faya,SA,82.51,broken clouds,18.3851,42.4509,
519,ozark,US,79.63,broken clouds,37.0209,-93.206,
520,tual,ID,78.75,scattered clouds,-5.6667,132.75,
524,mahibadhoo,MV,82.38,broken clouds,3.7833,72.9667,
525,basco,PH,86.2,few clouds,20.4487,121.9702,
527,brownsville,US,84.9,clear sky,25.9018,-97.4975,
530,pyatnitskoye,RU,78.69,overcast clouds,50.4233,37.8273,
532,aksarka,RU,76.3,broken clouds,66.5606,67.7975,
533,kalmunai,LK,81.63,light rain,7.4167,81.8167,
537,dingle,PH,78.06,moderate rain,10.9995,122.6711,
539,gerash,IR,87.94,broken clouds,27.6652,54.1371,
541,bafra,TR,79.95,clear sky,41.5678,35.9069,
543,padang,ID,79.02,overcast clouds,-0.9492,100.3543,
544,waycross,US,84.97,clear sky,31.2136,-82.354,
545,payson,US,79.39,scattered clouds,40.0444,-111.7321,
547,qui nhon,VN,81.57,overcast clouds,13.7667,109.2333,
548,inongo,CD,75.92,overcast clouds,-1.95,18.2667,
550,ixtapa,MX,81.23,overcast clouds,20.7,-105.2,
